date,open,high,low,close,volume
2023-06-27,574.0,580.0,562.0,574.1,63056
2023-06-28,576.0,584.6,560.0,563.0,61798
2023-07-02,556.0,562.0,540.0,545.0,74375
2023-07-03,536.0,551.0,536.0,538.1,49316
2023-07-04,531.0,542.0,531.0,535.0,30538
2023-07-05,540.0,556.6,524.0,524.0,51427
2023-07-06,526.1,547.0,526.0,541.0,38970
2023-07-09,548.9,553.0,542.5,546.0,25452
2023-07-10,542.1,548.0,535.0,535.2,38133
2023-07-11,533.1,535.0,526.1,530.0,35626
2023-07-12,521.0,544.0,519.4,540.0,42745
2023-07-13,549.0,552.0,536.0,538.0,137437
2023-07-16,548.0,548.0,528.1,536.7,22932
2023-07-17,536.7,546.0,530.1,543.0,19305
2023-07-18,553.0,553.0,539.0,540.0,29745
2023-07-19,540.0,547.5,535.1,538.1,19108
2023-07-20,538.1,554.9,535.0,542.0,43407
2023-07-23,552.8,563.0,536.0,555.0,43051
2023-07-24,555.0,557.8,545.1,547.8,38575
2023-07-25,545.0,548.5,535.0,540.0,40474
2023-07-26,535.0,544.0,531.0,532.0,28885
2023-07-27,534.0,538.0,529.8,531.0,38875
2023-07-30,530.0,530.0,517.7,520.0,43470
2023-07-31,528.0,528.0,514.0,514.1,34789
2023-08-01,524.0,524.0,505.2,508.0,34134
2023-08-02,515.0,516.0,501.0,507.0,27099
2023-08-03,500.0,518.9,500.0,506.0,28979
2023-08-06,516.1,526.0,489.1,493.7,59731
2023-08-07,483.9,514.0,483.9,495.2,31260
2023-08-08,490.0,498.0,488.1,488.2,33028
2023-08-09,496.1,525.4,485.0,510.0,32245
2023-08-10,501.0,520.8,500.0,515.0,38480
2023-08-13,515.0,523.8,510.0,523.0,65004
2023-08-14,518.0,519.0,506.0,507.0,39336
2023-08-15,510.0,510.0,492.0,495.9,31781
2023-08-16,491.2,501.0,491.1,493.0,24919
2023-08-17,493.0,502.8,493.0,499.5,21422
2023-08-20,500.0,500.0,486.0,487.8,30310
2023-08-21,485.0,488.1,479.2,479.2,34715
2023-08-22,480.0,487.4,477.1,486.0,22682
2023-08-23,483.2,502.0,483.1,497.4,18183
2023-08-24,504.0,504.0,491.1,492.0,20947
2023-08-27,491.0,491.0,480.2,481.0,21779
2023-08-28,481.0,485.0,480.0,481.4,15738
2023-08-29,481.0,486.0,477.1,480.0,11106
2023-08-30,482.0,484.0,478.3,481.9,8689
2023-09-03,476.1,482.9,473.3,474.0,18174
2023-09-04,471.0,487.0,470.0,479.0,15989
2023-09-05,478.0,479.5,471.0,476.0,7621
2023-09-07,469.3,478.6,469.1,469.4,29344
2023-09-10,470.0,474.0,467.3,472.0,21714
2023-09-11,475.0,489.9,472.0,483.0,109789
2023-09-12,480.3,489.9,477.0,480.0,16445
2023-09-13,480.0,490.0,475.1,489.9,22541
2023-09-17,483.1,493.0,476.2,480.1,24819
2023-09-18,485.0,485.0,475.0,480.0,7749
2023-09-19,486.0,486.9,477.0,485.5,8063
2023-09-21,495.0,506.0,493.2,499.9,63366
2023-09-24,509.8,509.8,490.4,495.0,19230
2023-09-25,499.0,499.0,487.1,492.0,15301
2023-09-26,495.0,507.0,495.0,507.0,23074
2023-09-27,502.0,505.0,495.0,503.0,23103
2023-10-01,496.0,501.9,495.0,495.1,26038
