date,open,high,low,close,volume
2023-06-27,411.0,420.0,404.0,414.2,45746
2023-06-28,420.0,420.0,396.0,401.0,20990
2023-07-02,396.0,406.0,385.5,386.0,26889
2023-07-03,390.0,397.0,380.4,384.0,15105
2023-07-04,390.0,390.0,379.2,389.0,7804
2023-07-05,383.3,401.0,383.2,386.0,21894
2023-07-06,393.7,400.0,385.2,392.0,19297
2023-07-09,399.8,404.0,392.0,396.0,12135
2023-07-10,390.1,409.0,390.1,408.0,36299
2023-07-11,406.0,426.0,403.0,420.0,40349
2023-07-12,425.0,426.0,405.1,412.0,28732
2023-07-13,405.0,415.0,398.0,399.0,23978
2023-07-16,395.1,411.0,394.0,398.0,6272
2023-07-17,391.0,412.8,391.0,409.0,16461
2023-07-18,414.0,419.0,408.0,411.0,25251
2023-07-19,406.0,414.0,404.0,410.0,8569
2023-07-20,409.8,413.0,402.0,405.0,13738
2023-07-23,405.0,415.1,401.3,415.0,16098
2023-07-24,410.0,414.9,399.3,399.3,15753
2023-07-25,397.0,404.0,392.1,395.0,13606
2023-07-26,391.4,402.9,391.4,392.5,9300
2023-07-27,394.0,400.0,385.0,386.0,15864
2023-07-30,386.0,393.0,374.4,379.0,12667
2023-07-31,386.5,387.0,374.0,379.0,5266
2023-08-01,386.0,386.0,370.0,376.5,4288
2023-08-02,384.0,384.0,374.0,379.0,5707
2023-08-03,385.9,385.9,372.0,372.0,4369
2023-08-06,370.0,374.0,353.0,360.0,13800
2023-08-07,366.0,366.0,354.2,360.0,11237
2023-08-08,367.1,367.2,357.0,357.4,8691
2023-08-09,356.4,363.0,351.0,363.0,8001
2023-08-10,368.0,370.0,360.0,366.0,5748
2023-08-13,367.0,374.0,365.2,372.9,9466
2023-08-14,374.9,379.9,370.0,373.0,5452
2023-08-15,365.6,370.0,363.0,365.0,4381
2023-08-16,358.0,364.0,355.2,358.9,2903
2023-08-17,355.0,366.8,355.0,362.0,4325
2023-08-20,357.0,362.0,354.0,355.0,3536
2023-08-21,348.0,361.0,346.5,346.5,6566
2023-08-22,346.5,362.5,340.3,356.0,2020
2023-08-23,363.0,369.0,356.1,368.0,2018
2023-08-24,363.0,363.0,354.1,354.2,3875
2023-08-27,350.0,354.9,347.2,347.2,6598
2023-08-28,347.0,360.0,345.0,353.0,1959
2023-08-29,346.0,354.0,346.0,350.1,2086
2023-08-30,357.1,364.0,348.0,350.5,2398
2023-09-03,346.0,346.0,344.0,346.0,4171
2023-09-04,349.0,349.0,341.4,345.0,4428
2023-09-05,340.0,347.0,338.1,345.0,2601
2023-09-07,345.0,345.0,338.1,340.0,6048
2023-09-10,340.0,350.0,340.0,348.9,3812
2023-09-11,349.0,359.0,348.0,355.0,1746
2023-09-12,350.0,350.0,346.0,347.0,1434
2023-09-13,345.0,358.0,345.0,357.0,3424
2023-09-17,355.0,355.0,344.0,344.1,4566
2023-09-18,350.9,350.9,344.0,347.0,544
2023-09-19,341.0,351.5,341.0,351.0,2436
2023-09-21,358.0,373.0,358.0,369.0,5583
2023-09-24,362.0,375.0,355.1,355.3,5853
2023-09-25,350.0,360.0,350.0,353.0,1489
2023-09-26,360.0,367.0,354.2,359.9,6957
2023-09-27,363.9,364.0,350.1,359.9,4601
2023-10-01,352.8,355.1,350.0,354.9,3213
2023-10-02,349.0,362.0,349.0,358.1,4597
2023-10-03,358.1,360.0,353.1,358.0,3240
2023-10-04,360.0,364.2,357.0,358.1,3086
2023-10-05,358.1,358.1,352.8,353.4,2407
2023-10-08,349.0,352.0,342.1,345.0,12292
2023-10-09,345.1,350.0,342.0,342.0,3719
2023-10-10,338.0,346.8,338.0,343.9,3682
2023-10-11,342.2,346.0,340.5,342.0,2623
2023-10-12,346.0,349.0,339.2,341.5,2688
2023-10-16,342.0,343.0,335.0,335.3,2192
2023-10-17,342.0,345.0,337.0,338.0,2435
2023-10-18,332.1,346.1,332.1,343.0,2114
2023-10-19,344.0,344.0,340.0,344.0,1270
2023-10-29,338.0,339.0,335.1,339.0,943
2023-10-30,339.0,344.8,339.0,344.8,773
2023-10-31,343.0,343.0,338.0,338.0,955
2023-11-01,335.1,342.0,335.0,341.0,2418
2023-11-02,337.1,340.0,337.1,337.1,355
2023-11-05,330.4,332.0,328.0,330.0,4756
2023-11-06,325.1,340.0,325.1,333.1,2139
2023-11-07,339.0,345.0,331.0,331.0,3698
2023-11-08,330.0,343.0,330.0,338.0,844
2023-11-09,331.5,337.0,328.3,335.0,4397
2023-11-20,335.0,339.3,333.0,338.0,1948
2023-11-21,338.0,338.0,325.0,325.1,2974
2023-11-22,326.0,336.0,320.2,326.0,2456
2023-11-23,332.5,339.1,327.0,327.0,1718
2023-11-26,327.0,340.0,327.0,340.0,6584
2023-11-27,345.0,345.0,333.2,333.5,4025
2023-11-28,335.0,336.0,333.1,333.2,1248
2023-11-29,336.0,336.0,332.0,336.0,2461
2023-11-30,330.5,337.0,330.5,331.0,2296
2023-12-03,326.0,337.6,325.2,337.0,2302
2023-12-04,330.4,336.0,330.3,332.5,2243
2023-12-05,330.1,330.1,327.1,327.6,2098
2023-12-06,327.5,333.5,327.0,328.0,3653
2023-12-07,332.0,336.0,327.0,330.0,4589
2023-12-10,336.6,343.0,336.6,343.0,1110
2023-12-11,349.8,362.0,344.0,344.6,10280
2023-12-12,349.0,365.5,343.5,359.5,14639
2023-12-13,363.0,370.0,349.0,360.0,8636
2023-12-14,353.0,365.8,352.8,362.0,13059
2023-12-17,354.8,366.3,350.0,365.5,25946
2023-12-18,372.7,380.0,363.0,370.9,34409
2023-12-19,377.0,377.0,365.0,373.0,9194
2023-12-20,370.0,380.0,367.6,373.1,17578
2023-12-21,365.7,370.0,356.0,360.3,26538
2023-12-24,365.0,365.0,350.0,354.5,18130
