date,open,high,low,close,volume
2023-06-28,140.0,140.0,140.0,140.0,0
2023-07-02,140.0,140.0,140.0,140.0,0
2023-07-03,140.0,140.0,140.0,140.0,0
2023-07-04,140.0,140.0,140.0,140.0,0
2023-07-05,140.0,140.0,140.0,140.0,0
2023-07-06,140.0,140.0,140.0,140.0,0
2023-07-09,140.0,140.0,140.0,140.0,0
2023-07-10,140.0,140.0,140.0,140.0,0
2023-07-11,140.0,140.0,140.0,140.0,0
2023-07-12,140.0,140.0,140.0,140.0,0
2023-07-13,140.0,140.0,140.0,140.0,0
2023-07-16,140.0,140.0,140.0,140.0,0
2023-07-17,140.0,140.0,140.0,140.0,0
2023-07-18,140.0,140.0,140.0,140.0,0
2023-07-19,140.0,140.0,140.0,140.0,0
2023-07-20,140.0,140.0,140.0,140.0,0
2023-07-23,140.0,140.0,140.0,140.0,0
2023-07-24,140.0,140.0,140.0,140.0,0
2023-07-25,140.0,140.0,140.0,140.0,0
2023-07-26,140.0,140.0,140.0,140.0,0
2023-07-27,140.0,140.0,140.0,140.0,0
2023-07-30,140.0,140.0,140.0,140.0,0
2023-07-31,140.0,140.0,140.0,140.0,0
2023-08-01,140.0,140.0,140.0,140.0,0
2023-08-02,140.0,140.0,140.0,140.0,0
2023-08-03,140.0,140.0,140.0,140.0,0
2023-08-06,140.0,140.0,140.0,140.0,0
2023-08-07,140.0,140.0,140.0,140.0,0
2023-08-08,140.0,140.0,140.0,140.0,0
2023-08-09,140.0,140.0,140.0,140.0,0
2023-08-10,140.0,140.0,140.0,140.0,0
2023-08-13,140.0,140.0,140.0,140.0,0
2023-08-14,140.0,140.0,140.0,140.0,0
2023-08-15,140.0,140.0,140.0,140.0,0
2023-08-16,140.0,140.0,140.0,140.0,0
2023-08-17,140.0,140.0,140.0,140.0,0
2023-08-20,140.0,140.0,140.0,140.0,0
2023-08-21,140.0,140.0,140.0,140.0,0
2023-08-22,140.0,140.0,140.0,140.0,0
2023-08-23,140.0,140.0,140.0,140.0,0
2023-08-24,140.0,140.0,140.0,140.0,0
2023-08-27,140.0,140.0,140.0,140.0,0
2023-08-28,140.0,140.0,140.0,140.0,0
2023-08-29,140.0,140.0,140.0,140.0,0
2023-08-30,140.0,140.0,140.0,140.0,0
2023-09-03,140.0,140.0,140.0,140.0,0
2023-09-04,140.0,140.0,140.0,140.0,0
2023-09-05,140.0,140.0,140.0,140.0,0
2023-09-07,140.0,140.0,140.0,140.0,0
2023-09-10,140.0,140.0,140.0,140.0,0
2023-09-11,140.0,140.0,140.0,140.0,0
2023-09-12,140.0,140.0,140.0,140.0,0
2023-09-13,140.0,140.0,140.0,140.0,0
2023-09-17,140.0,140.0,140.0,140.0,0
2023-09-18,140.0,140.0,140.0,140.0,0
2023-09-19,140.0,140.0,140.0,140.0,0
2023-09-21,140.0,140.0,140.0,140.0,0
2023-09-24,140.0,140.0,140.0,140.0,0
2023-09-25,140.0,140.0,140.0,140.0,0
2023-09-26,140.0,140.0,140.0,140.0,0
2023-09-27,140.0,140.0,140.0,140.0,0
2023-10-01,140.0,140.0,140.0,140.0,0
2023-10-02,140.0,140.0,140.0,140.0,0
2023-10-03,140.0,140.0,140.0,140.0,0
2023-10-04,140.0,140.0,140.0,140.0,0
2023-10-05,140.0,140.0,140.0,140.0,0
2023-10-08,140.0,140.0,140.0,140.0,0
2023-10-09,140.0,140.0,140.0,140.0,0
2023-10-10,140.0,140.0,140.0,140.0,0
2023-10-11,140.0,140.0,140.0,140.0,0
2023-10-12,140.0,140.0,140.0,140.0,0
2023-10-16,140.0,140.0,140.0,140.0,0
2023-10-17,140.0,140.0,140.0,140.0,0
2023-10-18,140.0,140.0,140.0,140.0,0
2023-10-19,140.0,140.0,140.0,140.0,0
2023-10-29,140.0,140.0,140.0,140.0,0
2023-10-30,140.0,140.0,140.0,140.0,0
2023-10-31,140.0,140.0,140.0,140.0,0
2023-11-01,140.0,140.0,140.0,140.0,0
2023-11-02,140.0,140.0,140.0,140.0,0
2023-11-05,140.0,140.0,140.0,140.0,0
2023-11-06,140.0,140.0,140.0,140.0,0
2023-11-07,140.0,140.0,140.0,140.0,0
2023-11-08,140.0,140.0,140.0,140.0,0
2023-11-09,140.0,140.0,140.0,140.0,0
2023-11-20,140.0,140.0,140.0,140.0,0
2023-11-21,140.0,140.0,140.0,140.0,0
2023-11-22,140.0,140.0,140.0,140.0,0
2023-11-23,140.0,140.0,140.0,140.0,0
2023-11-26,140.0,140.0,140.0,140.0,0
2023-11-27,140.0,140.0,140.0,140.0,0
2023-11-28,140.0,140.0,140.0,140.0,0
2023-11-29,140.0,140.0,140.0,140.0,0
2023-11-30,140.0,140.0,140.0,140.0,0
2023-12-03,140.0,140.0,140.0,140.0,0
2023-12-04,140.0,140.0,140.0,140.0,0
2023-12-05,140.0,140.0,140.0,140.0,0
2023-12-06,140.0,140.0,140.0,140.0,0
2023-12-07,140.0,140.0,140.0,140.0,0
2023-12-10,140.0,140.0,140.0,140.0,0
2023-12-11,140.0,140.0,140.0,140.0,0
2023-12-12,140.0,140.0,140.0,140.0,0
2023-12-13,140.0,140.0,140.0,140.0,0
2023-12-14,140.0,140.0,140.0,140.0,0
2023-12-17,140.0,140.0,140.0,140.0,0
2023-12-18,140.0,140.0,140.0,140.0,0
2023-12-19,140.0,140.0,140.0,140.0,0
2023-12-20,140.0,140.0,140.0,140.0,0
2023-12-21,140.0,140.0,140.0,140.0,0
2023-12-24,140.0,140.0,140.0,140.0,0
2023-12-27,140.0,140.0,140.0,140.0,0
2023-12-28,140.0,140.0,140.0,140.0,0
